"filename", "language", "Docker", "JSON", "YAML", "Markdown", "Skill", "HTML", "Ignore", "Python", "PowerShell", "Shell Script", "comment", "blank", "total"
"c:\C_C++_C#\Vacancies\Nornickel-hack\.agents\skills\code-style\SKILL.md", "Skill", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 20, 65
"c:\C_C++_C#\Vacancies\Nornickel-hack\.agents\skills\critical-thinking\SKILL.md", "Skill", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 8, 32
"c:\C_C++_C#\Vacancies\Nornickel-hack\.agents\skills\docker-workflow\SKILL.md", "Skill", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 20, 69
"c:\C_C++_C#\Vacancies\Nornickel-hack\.agents\skills\materials-knowledge-graph\SKILL.md", "Skill", 0, 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 26, 139
"c:\C_C++_C#\Vacancies\Nornickel-hack\.agents\skills\mimo-subagent\SKILL.md", "Skill", 0, 0, 0, 0, 285, 0, 0, 0, 0, 0, 0, 98, 383
"c:\C_C++_C#\Vacancies\Nornickel-hack\.agents\skills\mimo-subagent\references\models.md", "Markdown", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 7, 29
"c:\C_C++_C#\Vacancies\Nornickel-hack\.agents\skills\mimo-subagent\scripts\run_mimo.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 17, 62
"c:\C_C++_C#\Vacancies\Nornickel-hack\.agents\skills\team-coordination\SKILL.md", "Skill", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 12, 44
"c:\C_C++_C#\Vacancies\Nornickel-hack\.claude\CLAUDE.md", "Markdown", 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 28, 126
"c:\C_C++_C#\Vacancies\Nornickel-hack\.codex\instructions.md", "Markdown", 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 29, 133
"c:\C_C++_C#\Vacancies\Nornickel-hack\.dockerignore", "Ignore", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"c:\C_C++_C#\Vacancies\Nornickel-hack\.mimocode\RULES.md", "Markdown", 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 44, 143
"c:\C_C++_C#\Vacancies\Nornickel-hack\.opencode\chats\20260518_aliasrenamed_batch2_localization.md", "Markdown", 0, 0, 0, 5306, 0, 0, 0, 0, 0, 0, 0, 798, 6104
"c:\C_C++_C#\Vacancies\Nornickel-hack\.opencode\chats\20260626-architecture-discussion.md", "Markdown", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 27, 75
"c:\C_C++_C#\Vacancies\Nornickel-hack\.opencode\chats\README.md", "Markdown", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 6
"c:\C_C++_C#\Vacancies\Nornickel-hack\.opencode\plans\20260422_cmw-platform-skill-reorganization-plan.md", "Markdown", 0, 0, 0, 310, 0, 0, 0, 0, 0, 0, 0, 89, 399
"c:\C_C++_C#\Vacancies\Nornickel-hack\.opencode\plans\20260422_langchain_gradio_version_analysis.md", "Markdown", 0, 0, 0, 204, 0, 0, 0, 0, 0, 0, 0, 70, 274
"c:\C_C++_C#\Vacancies\Nornickel-hack\.opencode\plans\20260422_mcp_integration_implementation_plan.md", "Markdown", 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 36, 145
"c:\C_C++_C#\Vacancies\Nornickel-hack\.opencode\plans\20260423_browser_automation_implementation_plan.md", "Markdown", 0, 0, 0, 705, 0, 0, 0, 0, 0, 0, 0, 191, 896
"c:\C_C++_C#\Vacancies\Nornickel-hack\.opencode\plans\20260423_browser_automation_summary.md", "Markdown", 0, 0, 0, 174, 0, 0, 0, 0, 0, 0, 0, 52, 226
"c:\C_C++_C#\Vacancies\Nornickel-hack\.opencode\plans\20260423_image_generation_COMPLETE.md", "Markdown", 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 0, 38, 157
